Country Name,Country Code,Time,Time Code,GDP growth (annual %) ,GDP deflator  ,"Inflation, consumer prices (annual %) ","Inflation, GDP deflator (annual %) ",Unemployment with basic education ,"Unemployment, total ","Unemployment, youth female ","Unemployment, youth male ","Unemployment, youth total ",Population growth (annual %) ,"Population, total",Real interest rate (%) ,Central government debt,Trade 
India,IND,1976,YR1976,1.663103638,7.189964043,-7.633947634,5.981859341,..,..,..,..,..,2.352627775,625861883,..,..,12.80120307
India,IND,1977,YR1977,7.254764588,7.595278805,8.307470092,5.637229338,..,..,..,..,..,2.358940447,640801103,..,..,12.64810114
India,IND,1978,YR1978,5.712532089,7.782144107,2.523048757,2.46028232,..,..,..,..,..,2.3027301,655728229,10.77463133,..,12.90301184
India,IND,1979,YR1979,-5.238182704,9.006123094,6.275683368,15.72804321,..,..,..,..,..,2.325480377,671155747,-1.061145746,..,14.91880453
India,IND,1980,YR1980,6.735821529,10.04257663,11.34607348,11.50832081,..,..,..,..,..,2.384825791,687354025,4.476508261,..,15.38457685
India,IND,1981,YR1981,6.006203626,11.12994485,13.1125469,10.82758198,..,..,..,..,..,2.349732026,703696250,5.118236741,..,14.50726476
India,IND,1982,YR1982,3.47573324,12.03100995,7.890742794,8.095863101,..,..,..,..,..,2.333969644,720313473,7.774707244,..,14.12592775
India,IND,1983,YR1983,7.288892903,13.06000534,11.8680813,8.552859602,..,..,..,..,..,2.340694095,737372681,7.320986685,..,13.69059389
India,IND,1984,YR1984,3.820737856,14.09477997,8.318907119,7.923232848,..,..,..,..,..,2.345933005,754875449,7.94709992,..,14.00937594
India,IND,1985,YR1985,5.254299223,15.1087282,5.556424232,7.193785445,..,..,..,..,..,2.327054084,772647793,8.681673585,..,12.90003619
India,IND,1986,YR1986,4.776564168,16.13452026,8.729720727,6.789400454,..,..,..,..,..,2.308264588,790689978,9.093224145,..,12.2192719
India,IND,1987,YR1987,3.965355635,17.6395311,8.801125813,9.327893306,..,..,..,..,..,2.280800256,808931270,6.560180094,..,12.58481404
India,IND,1988,YR1988,9.627782916,19.09170821,9.383471862,8.232515369,..,..,..,..,..,2.250539235,827342990,7.638632996,..,13.49045012
India,IND,1989,YR1989,5.947343332,20.70243914,7.074280029,8.436808869,..,..,..,..,..,2.234673403,846039529,7.435843248,..,15.16813209
India,IND,1990,YR1990,5.533454561,22.91103825,8.971232503,10.66830385,..,..,..,..,..,2.213130886,864972221,5.269526998,50.78325379,15.50626151
India,IND,1991,YR1991,1.056831435,26.06172275,13.87024618,13.75181894,..,..,..,..,..,2.167776687,883927600,3.624716596,50.01008036,16.98772655
India,IND,1992,YR1992,5.48239602,28.3981959,11.78781704,8.965152362,..,..,..,..,..,2.129985193,902957070,9.132749406,49.68090136,18.43309904
India,IND,1993,YR1993,4.750776218,31.19876431,6.326890488,9.861782855,..,..,..,..,..,2.099860694,922118387,5.814776512,51.75980829,19.65153979
India,IND,1994,YR1994,6.65892407,34.31241496,10.24793556,9.980044769,3.437,2.147,5.222,6.596,6.23,2.044354181,941163767,4.337109738,49.5942827,20.07814438
India,IND,1995,YR1995,7.574491838,37.42204695,10.22488616,9.062702224,..,..,..,..,..,2.012966329,960301044,5.864178109,47.4916413,22.86744871
India,IND,1996,YR1996,7.549522249,40.25677385,8.977152338,7.575018289,..,..,..,..,..,1.997759094,979678458,7.7929943,45.7233077,21.92948787
India,IND,1997,YR1997,4.04982085,42.86391173,7.164252115,6.476271259,..,..,..,..,..,1.966425184,999133762,6.909578995,50.36543613,22.61938687
India,IND,1998,YR1998,6.184415822,46.29738286,13.23083898,8.010167525,..,..,..,..,..,1.935963844,1018665080,5.121276329,50.31921817,23.69947008
India,IND,1999,YR1999,8.845755559,47.71796969,4.66982038,3.068395523,..,..,..,..,..,1.902029192,1038225823,9.191247322,51.35295144,24.81559804
India,IND,2000,YR2000,3.840991157,49.45727544,4.00943591,3.64497016,3.941,2.731,7.019,8.434,8.064,1.879398262,1057922733,8.342610831,55.0042465,26.90092291
India,IND,2001,YR2001,4.823966266,51.04763151,3.779293122,3.215616017,..,..,..,..,..,1.870608221,1077898575,8.591449296,59.0179098,25.99325475
