Country Name,Year,Broad money ,Expense ,Exports of goods,GDP constant,GDP current,GDP growth ,Gross savings,"Inflation, GDP deflator","Inflation, consumer prices ",Population growth,"Population, female ","Population, male","Population, total","Unemployment, female ","Unemployment, male","Unemployment, total ","Unemployment, youth total "
Brazil,1976,15.30022331,,7.013163072,6.11E+11,1.53E+11,10.25712953,19.16298454,41.20362402,,2.381556163,50.10763805,49.89236195,110213349,1.9,1.93,1.92,
Brazil,1977,14.52078666,,7.245261155,6.41E+11,1.76E+11,4.93432807,19.763868,45.39805621,,2.386557498,50.1133986,49.8866014,112875292,2.76,2.12,2.32,
Brazil,1978,14.56909626,,6.692986079,6.73E+11,2.00E+11,4.969897689,19.5403653,38.22761123,,2.386050633,50.11814696,49.88185304,115600942,2.8,2.15,2.36,
Brazil,1979,15.29884068,,7.240780049,7.18E+11,2.21E+11,6.759560122,18.32136235,54.36596003,,2.376261954,50.12243622,49.87756378,118380821,2.76,2.75,2.76,
Brazil,1980,11.76865071,,8.962394873,7.85E+11,2.37E+11,9.2,17.68957929,92.14194461,,2.359690661,50.12619231,49.87380769,121207461,,,,
Brazil,1981,11.52991524,,9.622840371,7.51E+11,2.58E+11,-4.25,19.03980402,100.5288771,101.725073,2.328674854,50.12910607,49.87089393,124063109,4.16,3.9,3.99,
Brazil,1982,10.46821043,,7.900484525,7.57E+11,2.71E+11,0.83,15.87780747,101.0343947,100.5433592,2.27914449,50.13138737,49.86861263,126923155,5.09,4.7,4.83,
Brazil,1983,10.98583302,,12.24375557,7.35E+11,1.90E+11,-2.93,14.275817,131.4840451,135.0276822,2.233652838,50.13327329,49.86672671,129790077,4.63,4.62,4.62,
Brazil,1984,12.78522219,,15.03541254,7.75E+11,1.88E+11,5.4,17.48867873,201.7402821,192.1217331,2.186254785,50.13497892,49.86502108,132658864,4.4,3.9,4.04,
Brazil,1985,14.36891681,,12.9485791,8.36E+11,2.11E+11,7.85,20.18363203,248.5436591,225.9896652,2.130582513,50.13687465,49.86312535,135515595,3.86,3.17,3.38,
Brazil,1986,20.87996256,,9.21727907,8.98E+11,2.56E+11,7.49,17.90151585,149.1793183,147.1428262,2.060145718,50.13915068,49.86084932,138336370,2.71,2.22,2.37,
Brazil,1987,20.65932161,,9.828482027,9.30E+11,2.83E+11,3.53,22.66060326,206.2087087,228.3361626,1.98157141,50.14190077,49.85809923,141104944,3.95,3.34,3.56,
